name,message
blue no. 1,Allergic reaction in individuals with pre-existing asthma
yellow 6,"Hyperactivity in some children,Causes adrenal tumors in animals"
sunset yellow,"Hyperactivity in some children,Causes adrenal tumors in animals"
yellow #6,"Hyperactivity in some children,Causes adrenal tumors in animals"
yellow no 6,"Hyperactivity in some children,Causes adrenal tumors in animals"
yellow no. 6,"Hyperactivity in some children,Causes adrenal tumors in animals"
yellow 5,Mild to severe hypersensitiviy reactions
tartrazine,Mild to severe hypersensitiviy reactions
yellow #5,Mild to severe hypersensitiviy reactions
yellow no 5,Mild to severe hypersensitiviy reactions
yellow no.5,Mild to severe hypersensitiviy reactions
orange b,"Negative behavioral changes, lymphatic system and kidneys"
citrus red 2,Possibly carcinogenic to humans; cancer and tumors in animals.
citrus red #2,Possibly carcinogenic to humans; cancer and tumors in animals.
Brilliant Blue FCF,Allergic reaction in individuals with pre-existing asthma
E133,Allergic reaction in individuals with pre-existing asthma
FD&C Blue No. 1,Allergic reaction in individuals with pre-existing asthma
CI 42090,Allergic reaction in individuals with pre-existing asthma
Acid Blue 9,Allergic reaction in individuals with pre-existing asthma
Alzen Food Blue No. 1,Allergic reaction in individuals with pre-existing asthma
C.I. Food Blue 2,Allergic reaction in individuals with pre-existing asthma
Patent Blue VF,Allergic reaction in individuals with pre-existing asthma
C.I. 73015,Allergic reaction in individuals with pre-existing asthma
FD&C Blue #1,Allergic reaction in individuals with pre-existing asthma
Blue 1 Lake,Allergic reaction in individuals with pre-existing asthma
Pure Brilliant Blue,Allergic reaction in individuals with pre-existing asthma
C.I. 42045:1,Allergic reaction in individuals with pre-existing asthma
Cyanosine,Allergic reaction in individuals with pre-existing asthma
Cyanosine chloride,Allergic reaction in individuals with pre-existing asthma
e143,Significant increases in bladder tumors in male rats
fast green fcf,Significant increases in bladder tumors in male rats
fd&c green no. 3,Significant increases in bladder tumors in male rats
brilliant green bs,Significant increases in bladder tumors in male rats
green s,Significant increases in bladder tumors in male rats
c.i. 42053,Significant increases in bladder tumors in male rats
brilliant green fcf,Significant increases in bladder tumors in male rats
acid green 3,Significant increases in bladder tumors in male rats
fd&c blue no. 2,"Occurrence of tumors, particularly brain gliomas"
e132,"Occurrence of tumors, particularly brain gliomas"
c.i. food blue 1,"Occurrence of tumors, particularly brain gliomas"
fd&c blue no. 1,"Occurrence of tumors, particularly brain gliomas"
alzen food blue no. 2,"Occurrence of tumors, particularly brain gliomas"
e127,"Occurrence of tumors, particularly brain gliomas"
fd&c red no.3,Suspected trigger of hyperactivity in children
ci food red 14,Suspected trigger of hyperactivity in children
cherry red,Suspected trigger of hyperactivity in children
erythrosine lake,Suspected trigger of hyperactivity in children
cherry pink,Suspected trigger of hyperactivity in children
erythrosine aluminium lake,Suspected trigger of hyperactivity in children
brilliant scarlet,Suspected trigger of hyperactivity in children
erythrosine aluminum,Suspected trigger of hyperactivity in children
food red 14,Suspected trigger of hyperactivity in children
e110,"Hyperactivity in some children,Causes adrenal tumors in animals"
fd&c yellow no. 6,"Hyperactivity in some children,Causes adrenal tumors in animals"
c.i. 15985,"Hyperactivity in some children,Causes adrenal tumors in animals"
yellow 6 lake,"Hyperactivity in some children,Causes adrenal tumors in animals"
orange yellow s,"Hyperactivity in some children,Causes adrenal tumors in animals"
acid yellow 3,"Hyperactivity in some children,Causes adrenal tumors in animals"
fd&c yellow 6 aluminum lake,"Hyperactivity in some children,Causes adrenal tumors in animals"
e102,Mild to severe hypersensitiviy reactions
fd&c yellow no. 5,Mild to severe hypersensitiviy reactions
ci 19140,Mild to severe hypersensitiviy reactions
acid yellow 23,Mild to severe hypersensitiviy reactions
food yellow 4,Mild to severe hypersensitiviy reactions
tartrazine yellow,Mild to severe hypersensitiviy reactions
red 40,Contains cancer-causing substances and can cause hyperactivity
red no. 4,Contains cancer-causing substances and can cause hyperactivity
red no 4,Contains cancer-causing substances and can cause hyperactivity
red #40,Contains cancer-causing substances and can cause hyperactivity
red 40 lake,Contains cancer-causing substances and can cause hyperactivity
fd&c red no. 40 lake,Contains cancer-causing substances and can cause hyperactivity
fd&c red no. 40 aluminum lake,Contains cancer-causing substances and can cause hyperactivity
